WVLS(um),SZA,H(km)|(-m),Dif_Down,Dir_Down,TotalDown,Total_Up,Up/Down,,,,,,,,
1.115,66.8,0,1.63E+01,3.53E+01,5.16E+01,4.97E+00,0.0964,,,,,,,,
1.12,66.8,0,3.26E+00,6.32E+00,9.58E+00,8.45E-01,0.0882,,,,,,,,
1.125,66.8,0,2.55E+00,4.80E+00,7.35E+00,6.40E-01,0.0871,,,,,,,,
1.13,66.8,0,7.17E+00,1.52E+01,2.24E+01,2.07E+00,0.0923,,,,,,,,
1.135,66.8,0,1.71E+00,3.09E+00,4.80E+00,4.11E-01,0.0857,,,,,,,,
1.14,66.8,0,1.17E+01,2.57E+01,3.73E+01,3.54E+00,0.0949,,,,,,,,
1.145,66.8,0,4.92E+00,1.04E+01,1.53E+01,1.40E+00,0.091,,,,,,,,
1.15,66.8,0,9.01E+00,2.00E+01,2.90E+01,2.73E+00,0.0941,,,,,,,,
1.155,66.8,0,1.39E+01,3.13E+01,4.52E+01,4.37E+00,0.0966,,,,,,,,
1.16,66.8,0,2.85E+01,6.51E+01,9.36E+01,9.40E+00,0.1004,,,,,,,,
1.165,66.8,0,3.72E+01,8.40E+01,1.21E+02,1.25E+01,0.1028,,,,,,,,
1.17,66.8,0,3.90E+01,8.82E+01,1.27E+02,1.31E+01,0.1033,,,,,,,,
1.175,66.8,0,4.03E+01,9.15E+01,1.32E+02,1.37E+01,0.1036,,,,,,,,
SETDIS--BEAM,ANGLE=COMPUTATIONAL,ANGLE;,UMU0,CHANGED,BY,0.2%;,IF,THIS,CHANGE,IS,NOT,"GOOD,",PLEASE,CHANGE,NSTR
1.18,66.8,0,3.81E+01,8.70E+01,1.25E+02,1.30E+01,0.1037,,,,,,,,
SETDIS--BEAM,ANGLE=COMPUTATIONAL,ANGLE;,UMU0,CHANGED,BY,0.2%;,IF,THIS,CHANGE,IS,NOT,"GOOD,",PLEASE,CHANGE,NSTR
1.185,66.8,0,3.76E+01,8.63E+01,1.24E+02,1.29E+01,0.1037,,,,,,,,
1.19,66.8,0,3.89E+01,8.98E+01,1.29E+02,1.33E+01,0.1036,,,,,,,,
1.195,66.8,0,3.88E+01,9.01E+01,1.29E+02,1.34E+01,0.1037,,,,,,,,
1.2,66.8,0,3.72E+01,8.69E+01,1.24E+02,1.28E+01,0.1035,,,,,,,,
1.205,66.8,0,3.88E+01,9.10E+01,1.30E+02,1.35E+01,0.1038,,,,,,,,
1.21,66.8,0,3.82E+01,9.00E+01,1.28E+02,1.33E+01,0.1038,,,,,,,,
1.215,66.8,0,3.96E+01,9.38E+01,1.33E+02,1.39E+01,0.1039,,,,,,,,
1.22,66.8,0,4.19E+01,9.97E+01,1.42E+02,1.48E+01,0.1043,,,,,,,,
1.225,66.8,0,4.20E+01,1.00E+02,1.42E+02,1.49E+01,0.1045,,,,,,,,
1.23,66.8,0,4.39E+01,1.05E+02,1.49E+02,1.56E+01,0.1047,,,,,,,,
1.235,66.8,0,4.45E+01,1.07E+02,1.52E+02,1.59E+01,0.1049,,,,,,,,
1.24,66.8,0,4.44E+01,1.07E+02,1.52E+02,1.59E+01,0.105,,,,,,,,
1.245,66.8,0,4.30E+01,1.05E+02,1.48E+02,1.55E+01,0.1048,,,,,,,,
1.25,66.8,0,4.19E+01,1.03E+02,1.45E+02,1.52E+01,0.1046,,,,,,,,
1.255,66.8,0,4.02E+01,9.97E+01,1.40E+02,1.46E+01,0.1043,,,,,,,,
1.26,66.8,0,3.58E+01,8.98E+01,1.26E+02,1.30E+01,0.1038,,,,,,,,
